opponent_strength
points_lag_1
points_lag_2
points_lag_3
points_lag_4
points_lag_5
minutes_lag
minutes_rolling
goals_scored_lag
goals_scored_rolling
assists_lag
assists_rolling
clean_sheets_lag
clean_sheets_rolling
goals_conceded_lag
goals_conceded_rolling
saves_lag
saves_rolling
cards_lag
cards_rolling
bonus_lag
bonus_rolling
bps_lag
bps_rolling
influence_lag
influence_rolling
creativity_lag
creativity_rolling
threat_lag
threat_rolling
selected_lag
selected_rolling
transfers_in_ratio_lag
transfers_in_ratio_rolling
transfers_out_ratio_lag
transfers_out_ratio_rolling
was_home_True
position_FWD
position_GKP
position_MID
